StateFIPS,State,WIC_PART_2012,WIC_PART_2013,WIC_PART_2014,WIC_PART_2015,WIC_PART_2016,WIC_PART_2017,WIC_PART_2018,NSLP_PART_2012,NSLP_PART_2013,NSLP_PART_2014,NSLP_PART_2015,NSLP_PART_2016,NSLP_PART_2017,NSLP_PART_2018,SBP_PART_2012,SBP_PART_2013,SBP_PART_2014,SBP_PART_2015,SBP_PART_2016,SBP_PART_2017,SBP_PART_2018,CACFP_PART_2012,CACFP_PART_2013,CACFP_PART_2014,CACFP_PART_2015,CACFP_PART_2016,CACFP_PART_2017,CACFP_PART_2018,SFSP_PART_2012,SFSP_PART_2013,SFSP_PART_2014,SFSP_PART_2015,SFSP_PART_2016,SFSP_PART_2017,SFSP_PART_2018,State_Population_2012,State_Population_2013,State_Population_2014,State_Population_2015,State_Population_2016,State_Population_2017,State_Population_2018
1,Alabama,141899.8333,139000.5,131046.25,132132.75,129159.9167,123992.5833,120604.75,562959.0076,539664.2694,531099.2449,531305.2859,525930.9601,511643.0541,499631.3077,224489.7519,224172.9594,236579.8873,254270.2865,266951.9358,271324.104,267372.0484,42903.75,41862.5,45038.75,51263.75,59447.5,61361.5,65638.0,26077,30308,42484,49715,48691,51622,51222,4815564,4830460,4842481,4853160,4864745,4875120,4887871
2,Alaska,24969.3333,23054.6667,19604.6667,19682.0,19120.9167,18188.1667,17092.4167,53919.813,52495.0258,51002.8767,53616.9244,52479.8034,53577.9696,53653.482,20758.7199,20740.7407,21044.7081,25111.231,25979.1442,26769.1478,27000.5993,10540.75,10962.75,11429.5,10786.5,10039.0,10082.5,9547.0,4661,5078,6670,5850,4688,4959,4266,730399,737045,736307,737547,741504,739786,737438
4,Arizona,193214.0834,182500.75,173020.1667,167072.25,163997.75,153510.0834,149513.3334,662439.5302,646766.7506,644173.319,647425.7461,641045.1876,638136.1621,627715.5699,274596.3083,289520.1966,300355.3878,308742.4188,315991.8495,314725.6383,313831.4755,41670.75,42945.25,40344.0,42551.5,42618.0,42284.75,49678.25,27554,23688,23209,14763,13924,12301,14701,6556629,6634999,6733840,6833596,6945452,7048876,7171646
5,Arkansas,94292.75,89776.8333,83288.5833,84219.5833,80554.6667,76518.5,73606.75,348908.9057,332496.9435,327469.1358,320921.3712,317039.3144,314201.4863,311040.8726,162017.9792,166376.4833,172604.6986,180120.9397,183707.1797,184850.893,189762.3157,55787.0,67629.75,76841.25,67984.5,66903.0,63450.25,57042.75,26217,41946,45837,31081,35767,23544,18211,2952109,2959549,2967726,2978407,2990410,3002997,3013825
6,California,1472468.25,1431881.4167,1348938.5833,1265005.25,1174874.9167,1080241.0833,1009491.8333,3355494.4265,3294580.3668,3280732.5902,3271743.977,3251959.3671,3215762.4356,3177215.7497,1406620.1606,1517341.2442,1645889.8478,1691158.9357,1722908.9057,1727064.1256,1706654.2011,362931.0,451422.0,511862.75,562667.0,595088.25,617881.75,624624.25,104384,114689,115912,128025,123477,152251,144780,37960782,38280824,38625139,38953142,39209127,39399349,39557045
8,Colorado,103768.75,96873.5833,91990.9167,90953.5,86999.3334,84582.4166,85258.25,389955.4117,375033.3213,372674.6974,378228.9344,376744.2167,368667.5057,367376.0039,142955.6514,155733.3094,168991.6098,185013.6641,187317.6315,183179.4319,179740.2613,32550.25,32507.25,31816.5,43319.75,43662.75,43822.5,42451.5,16646,17933,19076,20180,19909,27258,25979,5193721,5270482,5351218,5452107,5540921,5615902,5695564
9,Connecticut,56583.5833,54248.1667,52560.75,51295.4167,49155.0833,47829.6667,47297.1667,296699.3887,280253.3861,283110.1522,288268.3687,288155.9391,283197.7706,278107.755,86529.306,87970.8738,93276.759,101002.8767,108076.3514,108240.4411,107818.0511,20326.25,20779.75,20479.75,21873.25,22721.5,22712.25,24297.75,10185,12171,17274,28276,28038,32655,31519,3594395,3594915,3594783,3587509,3578674,3573880,3572665
10,Delaware,22213.6667,20796.9167,19872.8333,18997.9167,18097.4167,17161.5,16796.8333,96040.1534,94570.7779,94943.4256,97995.0857,98527.9875,98976.8668,97980.4627,38624.116,39521.9945,41136.8812,47980.1031,51377.6819,52745.7749,52918.974,18366.75,19016.0,18886.0,19986.75,20583.25,22322.5,23906.5,14366,8190,9935,10425,11906,15422,14840,915188,923638,932596,941413,949216,957078,967171
11,District of Columbia,16474.25,15674.25,14500.5,14525.9167,14363.0833,13579.8333,12465.9167,47734.6278,50569.4594,50809.4211,52668.3447,53885.5328,52710.7755,56104.279,33281.4335,34873.4268,34873.9063,34498.7415,35798.1541,35028.6468,37501.4983,7827.75,4989.5,5764.75,5581.0,17594.25,30604.25,28545.0,36158,34778,39449,28713,28463,15494,12605,634725,650431,662513,675254,686575,695691,702455
12,Florida,495404.8333,483564.6667,466735.5833,483810.8333,481519.5833,468866.5833,450623.6667,1653679.9712,1638775.1408,1651221.3832,1675729.5937,1704152.583,1715885.0533,1752674.3378,711285.0294,750969.4355,773081.026,786513.4844,832401.0548,855037.3966,866111.1111,210496.5,223790.75,248434.0,269541.25,299778.5,302110.25,311957.25,137796,145389,155570,163418,251595,229220,212179,19326230,19563166,19860330,20224249,20629982,20976812,21299325
13,Georgia,303874.6667,289524.4167,271416.0,264298.9167,253652.5833,237224.4167,217695.0833,1287032.722,1245367.6136,1236304.4468,1236153.5419,1224626.8728,1211207.4793,1190337.6483,620654.8004,608138.0798,626649.7663,626930.2409,646702.0256,649923.8883,646451.8758,135286.25,138070.0,141104.5,141701.75,141950.0,143991.0,145731.0,84854,71557,98044,101239,88156,88446,93839,9901496,9973326,10069001,10181111,10304763,10413055,10519475
15,Hawaii,37169.4167,36370.0833,33922.5,31616.0,30117.25,26855.5,26114.5,113618.3627,113609.1334,113980.7024,109589.9557,106992.9282,103947.2612,102751.4084,38942.7065,38465.54,37596.6679,37812.7772,36453.5539,34765.7917,32405.0102,10069.0,10122.5,10739.0,11390.75,11172.75,10932.25,10626.0,5134,5324,6010,5860,5544,6350,6482,1394905,1408453,1414862,1422484,1428105,1424203,1420491
16,Idaho,43751.25,43291.6667,41423.4167,40506.4167,39009.9167,36526.0833,33716.5833,170127.1725,160189.0207,158273.8823,157015.5819,157148.7475,155249.191,151937.1929,77706.2208,75367.9732,76040.2733,77464.7009,80394.5823,78542.0113,75085.2211,8546.0,10694.25,11342.75,11666.75,12050.75,12157.0,11991.75,21114,20959,26932,19775,18989,21325,20392,1595441,1611530,1631479,1651523,1682930,1718904,1754208
17,Illinois,288939.1667,280463.25,265922.75,247593.9167,225158.5,211367.0833,199360.25,1142443.2458,1124196.4521,1124755.9631,1108555.4357,1084030.4447,1059265.9715,1044212.9929,395044.7081,416090.7348,419947.1413,423306.3646,431275.3206,424740.0216,439344.4804,127321.0,129334.75,133867.5,141448.5,142879.0,140115.75,139955.75,55586,54067,69897,70835,57945,96032,91102,12884119,12898269,12888962,12864342,12826895,12786196,12741080
18,Indiana,164280.5833,159524.5833,155323.0833,154484.5,147905.5833,143974.5,143730.4167,801375.7641,781172.4799,774692.7964,768261.6565,754994.846,743330.8163,734632.8659,256201.8458,259035.9583,260520.676,272047.2252,280446.3622,283075.1528,283659.2353,71208.5,79035.25,71834.5,81678.0,86470.25,93762.5,94214.0,54466,58664,66164,64068,55841,55778,51645,6537640,6568367,6593533,6608296,6633344,6660082,6691878
19,Iowa,69158.9167,65875.9167,63766.6667,63481.25,61163.4167,61995.9167,60249.25,395599.7842,384195.0138,383565.3842,381698.5497,381877.2624,377927.3643,373033.561,93107.5153,94780.7743,93851.732,98260.338,103663.1907,103257.9408,102432.6981,38915.75,38978.25,39403.0,44129.75,43173.5,43434.25,42862.0,11109,13607,16016,16703,18296,18475,21739,3076097,3093078,3109504,3121460,3131785,3143637,3156145
20,Kansas,74761.0833,70614.75,65698.5,62849.5833,58954.75,54135.3333,50680.6667,361686.0841,348151.744,346298.3339,345398.0583,342539.7339,338077.3103,333287.1869,107458.588,111453.1943,113861.9202,115826.9208,119168.7642,120177.0346,118836.6295,49973.25,47873.5,49258.5,49897.5,49185.75,47664.5,48456.0,20026,25237,25597,28280,29882,28251,29200,2885361,2893510,2900896,2909502,2911263,2910689,2911505
21,Kentucky,132698.0833,129923.3333,121681.6667,116178.9167,111926.0833,107884.6667,101743.0,549533.7409,532791.3221,529400.5753,525265.7317,528663.3106,525318.7103,515845.4992,269770.9457,276997.0035,278707.4194,283064.9646,303016.1812,311921.4911,317906.3886,47689.0,52231.5,55599.25,56812.0,63473.25,65950.5,72215.5,33091,20189,33222,33013,41667,69912,80847,4386381,4404817,4414483,4425999,4438229,4453874,4468402
22,Louisiana,145346.1667,139856.0,130398.5833,128935.0,127387.4167,119746.5833,112362.25,588505.0941,565262.0161,554244.0369,548567.3019,548135.5627,550544.0489,548065.2044,267441.5678,265627.7119,264460.7455,267794.4384,275216.5887,283968.5964,290695.1936,63843.0,64583.0,91941.0,104558.75,96562.75,93672.25,92375.5,32216,40912,39824,36126,32641,28429,25360,4600814,4624577,4644204,4664851,4678215,4670818,4659978
23,Maine,25690.0833,24380.0833,22946.5,21780.833400000003,20805.666599999997,19363.833400000003,18320.0,107179.312,100839.2665,99412.3217,100272.3241,99421.551,97730.4327,96194.7741,44366.2951,44986.3358,47006.5924,48563.9458,50073.4748,50072.7556,50399.6164,11089.0,10647.75,10533.0,11099.5,11034.75,10268.5,10974.75,9169,10553,11756,13327,14057,15298,15036,1327691,1328196,1330760,1328484,1331370,1335063,1338404
